BROKERS,NAME,PRICE,PROFITA,PROFITB,EPSA,EPSB,PE,DIV,TP,GAIN
2,AGE,3.14,126,282,0.1,0.2,33.05,0.64,3.92,24.84
4,BBL,193.5,33864,39458,17.74,20.68,10.91,3.54,238,22.99
3,CFRESH,8.25,385,415,0.86,0.93,9.56,7.43,10.07,22.06
1,EARTH,4.9,1188,1367,0.39,0.45,12.56,4.08,5.9,20.4
1,FSS,2.58,157,162,0.35,0.36,7.37,3.88,3.48,34.88
11,IVL,28.5,10249,13706,2.12,2.89,13.42,2.57,37.6,31.92
2,KCAR,17.3,429,502,1.72,2.01,10.09,5.84,21.25,22.83
1,LHK,3.3,97,133,0.3,0.42,11,4.24,4.17,26.36
2,MCS,6.75,356,469,0.71,0.94,9.51,5.26,8.21,21.62
1,NOBLE,6.05,435,486,0.95,1.06,6.37,5.45,7.63,26.11
2,PYLON,4.6,98,118,0.54,0.48,8.6,4.24,5.65,22.82
6,RML,1.73,1230,1823,0.34,0.5,5.04,3.66,2.12,22.54
3,SEAFCO,4.5,128,142,0.55,0.58,8.23,4.74,5.43,20.66
1,SNC,27.25,582,653,2,2.3,13.63,5.5,35,28.44
3,SORKON,79.25,125,148,5.14,6.08,15.43,2.98,95.85,20.94
10,THAI,20.5,4559,5400,2.02,2.48,10.14,2.89,26.21,27.85
2,TISCO,41.5,3654,4421,5.02,6.1,8.27,6.23,51.25,23.49
2,TRT,5.9,215,238,0.75,0.84,7.87,6.44,7.15,21.18
